p,post1,post2,true_label,matched_rules,matched_behaviours,pred_zero_shot,pred_rule_based,category_counts,score_rules,score_zero
1,OMG we went to the movie theater and watched a new movie and had fun there was a cute boy a few rolls up from us and we was throwing popcorn at him to get his attention he met us outside after the movies and we talked and exchanged phone numbers and we've been talking ever since me and my friends enjoyed this night,I just want to shout out happy birthday to my amazing husband he always does everything for us and gets up and goes to work and works hard everyday to provide everything that we need I just want to say I'm so grateful for him and everything he has done for me and our children and I will continue to be grateful everyday,High,"['IF a person describes a social gathering with friends and expresses excitement about future events, THEN extraversion is likely High because it indicates a preference for social activities and engagement with others.', 'IF a person shows little interest in meeting new people or describes social activities in a dry manner, THEN extraversion is likely Low because it points to a lack of enthusiasm and a preference for solitude.', 'IF a person enjoys meeting up with friends and refers to adventures with them, THEN extraversion is likely High because this suggests active social participation and enjoyment of companionship.', ""IF a person's language is rich with emojis and an outgoing tone, THEN extraversion is likely High because it shows a desire to connect and engage with others positively.""]","['we went to the movie theater and watched a new movie and had fun', 'we was throwing popcorn at him to get his attention he met us outside after the movies and we talked', 'me and my friends enjoyed this night', 'OMG we went to the movie theater and watched a new movie and had fun']",High,High,"{'Sociability': 3, 'Warmth': 1}",1,1
8,"time flies by, I cant believe its been so long since we all met,  had so much fun seeing you all again and catching up. I remember when we used to go out on our bikes for hours now we all have our own house's. its crazy. we should make this an annual thing every year. none of you have changed! ","Happpy Birthdayyyy. I hope your day is filled with all the things you love and your favorite people. This last year has been amazing and i cant wait to celebrate every birthday with you, even when we are old we'll still have each others company. Love you and cant wait to celebrate this day with you.",Moderate,"['IF a person describes a social gathering with friends and expresses excitement about future events, THEN extraversion is likely High because it indicates a preference for social activities and engagement with others.', 'IF a person enjoys meeting up with friends and refers to adventures with them, THEN extraversion is likely High because this suggests active social participation and enjoyment of companionship.', ""IF a person's language is rich with emojis and an outgoing tone, THEN extraversion is likely High because it shows a desire to connect and engage with others positively."", 'IF a person discusses past social experiences without excitement for future interactions, THEN extraversion is likely Low because it signals a lack of current social engagement or desire to rekindle social connections.']","['had so much fun seeing you all again and catching up.', 'we should make this an annual thing every year.', 'Happpy Birthdayyyy. I hope your day is filled with all the things you love and your favorite people.', 'This last year has been amazing and i cant wait to celebrate every birthday with you.']",High,High,"{'Sociability': 3, 'Warmth': 1}",0,0
21,"Good times with old friends! Great catch up and a nostalgic trip down memory lane with childhood pals. Food, drinks, music, games and great chat! Venue was great too with great service, would highly recommend. Thanks to all for coming. Should make this a regular thing, so heres to the next one!","A very happy birthday to my incredible wife! you are the most loving, strong and inspirational person that i know, and i am privileged to have you in my life. Congratulations on all that you have achieved and your recent success, long may it continue. thanks for many memories and look forward to creating many more with you.",Low,"['IF a person describes a social gathering with friends and expresses excitement about future events, THEN extraversion is likely High because it indicates a preference for social activities and engagement with others.', 'IF a person conveys a high degree of enthusiasm and uses a lot of positive language, THEN extraversion is likely High because it reflects an energetic approach towards social connections.', 'IF a person enjoys meeting up with friends and refers to adventures with them, THEN extraversion is likely High because this suggests active social participation and enjoyment of companionship.', ""IF a person's language is rich with emojis and an outgoing tone, THEN extraversion is likely High because it shows a desire to connect and engage with others positively.""]","['Good times with old friends! Great catch up and a nostalgic trip down memory lane with childhood pals.', 'Food, drinks, music, games and great chat!', 'Should make this a regular thing, so heres to the next one!', 'A very happy birthday to my incredible wife! you are the most loving, strong and inspirational person that i know.']",High,High,"{'Sociability': 2, 'Uncategorized': 1, 'Warmth': 1}",0,0
30,"What a weekend we have just had catching up with my childhood friends. The sun made a special appearance for us and it felt like the gods were looking out for us!

We ate, drank, laughed and shopped our hearts out.

Thank you for this special time together and can’t wait to do this again ????????","Happy birthday to you, my wonderful husband. Can’t wait to shower you with your gifts and take you out and celebrate you. We will go to your favourite restaurant ??

Congratulations ?? on this your special birthday ?? ?? let’s have lots of funnnnn!!

Love you very much, see you later my darling xxxxx",Low,"['IF a person describes a social gathering with friends and expresses excitement about future events, THEN extraversion is likely High because it indicates a preference for social activities and engagement with others.', ""IF a person's posts convey a high degree of enthusiasm and use a lot of positive language, THEN extraversion is likely High because it reflects an energetic approach towards social connections."", 'IF a person enjoys meeting up with friends and refers to adventures with them, THEN extraversion is likely High because this suggests active social participation and enjoyment of companionship.', ""IF a person's language is rich with emojis and an outgoing tone, THEN extraversion is likely High because it shows a desire to connect and engage with others positively.""]","['What a weekend we have just had catching up with my childhood friends. [...] can’t wait to do this again.', 'Happy birthday to you, my wonderful husband. [...] let’s have lots of funnnnn!!', 'We ate, drank, laughed and shopped our hearts out.', 'Happy birthday to you, my wonderful husband. [...] ?? on this your special birthday ?? ??.']",High,High,"{'Sociability': 2, 'Positive Emotions': 1, 'Warmth': 1}",0,0
46,"Such a crazy time with my bro from childhood. We got to this house party which was full of vibes. From the time we got there we knew it was going to be special. The decoration on the house was amazing. Massive shout out to whoever made the ribs, chicken wings and burgers - 10/10. Music was on point, dancing was on point too. We need to do this again.","Just want to send a special happy birthday to my wife - my best friend, my advisor, my partner in crime and in love. Your patience, kind heart, focus, intelligence and your resilience in the face of life's obstacles makes me so lucky to be called your husband. To witness and stand by the woman you've grown into is amazing. I look forward to celebrating many more birthdays with you. Happy birthday my love. ",Moderate,"['IF a person describes a social gathering with friends and expresses excitement about future events, THEN extraversion is likely High because it indicates a preference for social activities and engagement with others.', 'IF a person enjoys meeting up with friends and refers to adventures with them, THEN extraversion is likely High because this suggests active social participation and enjoyment of companionship.', ""IF a person's posts convey a high degree of enthusiasm and use a lot of positive language, THEN extraversion is likely High because it reflects an energetic approach towards social connections.""]","['We need to do this again.', 'Such a crazy time with my bro from childhood. We got to this house party which was full of vibes.', 'The decoration on the house was amazing. Massive shout out to whoever made the ribs, chicken wings and burgers - 10/10.']",High,High,"{'Sociability': 2, 'Positive Emotions': 1}",0,0
49,"Saw one of my very good friends today! It was quite nostalgic; all those laughter and stories we never get to tell anyone else. He began kidding around and it was like, no time had elapsed and we were back in our childhood or teenage years telling stories of the places we used to hang around. One thing I’ve always grown to appreciate is the ability of friends to know you when you were still young and still support you to date. Thank you to people like this and for creating so many more wonderful memories! Cheers to the uncovered moments.  #Tbt #blessedfriends ","It is another great day for the love of my life, Happy Birthday to you! Today i celebrate you. You always bring so much joy and happiness in to my life, not to mention the patient and constant support. Thanks for every day, all the fun we have, the trips we take, the moments that matters to each of us. Happy anniversary to us yet again, Cheers to many more impressive years together by our side. Happy birthday to you and lots of happiness that you will be showered with today! #BirthdayWishes #BirthdayBoy ",Moderate,"['IF a person describes a social gathering with friends and expresses excitement about future events, THEN extraversion is likely High because it indicates a preference for social activities and engagement with others.', 'IF a person enjoys meeting up with friends and refers to adventures with them, THEN extraversion is likely High because this suggests active social participation and enjoyment of companionship.', ""IF a person's posts convey a high degree of enthusiasm and use a lot of positive language, THEN extraversion is likely High because it reflects an energetic approach towards social connections.""]","['It was quite nostalgic; all those laughter and stories we never get to tell anyone else.', 'Thanks for every day, all the fun we have, the trips we take, the moments that matters to each of us.', 'Happy Birthday to you! Today i celebrate you. You always bring so much joy and happiness in to my life.']",High,High,"{'Sociability': 2, 'Positive Emotions': 1}",0,0
43,"Good to finally get back together with the crew haha, been a long time coming but definitely worth the wait. All those memories, all the good times and the best part about it, we get to recreate those memories and relive them every time we talk about them. Good to see everytime. Until the next time!","Happy birthday to the most gorgeous girl i've ever laid eyes on in my entire life. I always felt as though i was missing something in life, and now that i've found you i finally feel whole. I hope you have the best day and i hope you get everything you want out of life. Love you. I'll be raising a glass today, To more happiness and more memories!",Low,"['IF a person describes a social gathering with friends and expresses excitement about future events, THEN extraversion is likely High because it indicates a preference for social activities and engagement with others.', ""IF a person's posts convey a high degree of enthusiasm and use a lot of positive language, THEN extraversion is likely High because it reflects an energetic approach towards social connections."", 'IF a person enjoys meeting up with friends and refers to adventures with them, THEN extraversion is likely High because this suggests active social participation and enjoyment of companionship.', ""IF a person's language is rich with emojis and an outgoing tone, THEN extraversion is likely High because it shows a desire to connect and engage with others positively.""]","['Good to finally get back together with the crew haha, been a long time coming but definitely worth the wait.', 'I hope you have the best day and i hope you get everything you want out of life.', 'we get to recreate those memories and relive them every time we talk about them.', ""I'll be raising a glass today, To more happiness and more memories!""]",High,High,"{'Sociability': 2, 'Positive Emotions': 1, 'Warmth': 1}",0,0
11,"Hey guys!!!
guess who we have here today???

My childhood friends came over. Oh my God, i have really missed them, i saw them last about 8 years ago but we've always been in communication. I'm so happy to see them and i can't wait to update you guys on the plans we have to catch up. 
Stay tuned!","Happy birthday to the love of my life. I can't imagine what my life could have been without you, you brought colors into my life. On this big day of yours, i wish you heavens choicest blessings and i pray all your hear desires are granted. I love you so much and i hope i make you happy as much as you make me",Low,"['IF a person describes a social gathering with friends and expresses excitement about future events, THEN extraversion is likely High because it indicates a preference for social activities and engagement with others.', ""IF a person's posts convey a high degree of enthusiasm and use a lot of positive language, THEN extraversion is likely High because it reflects an energetic approach towards social connections."", 'IF a person enjoys meeting up with friends and refers to adventures with them, THEN extraversion is likely High because this suggests active social participation and enjoyment of companionship.']","[""I'm so happy to see them and i can't wait to update you guys on the plans we have to catch up."", 'Oh my God, i have really missed them', 'My childhood friends came over.']",High,High,"{'Sociability': 2, 'Positive Emotions': 1}",0,0
17,"Finally! The stars aligned and we were able to go out together! What a wild time we've had, you would think that we were in 2004 living our best life at XXX university! The venue was just perfect, and by the look of the videos, despite turning 40 we can still bust a move like when we were 20! ","My darling partner, wishing you the best birthday ever (yet!). Just like fine wine you've aged amazingly well, the salt and pepper look really becomes you! I hope you will enjoy the celebrations we planned for you today, fear not we'll keep it low key and definitely not party like we did for your thirtieth!",High,"['IF a person describes a social gathering with friends and expresses excitement about future events, THEN extraversion is likely High because it indicates a preference for social activities and engagement with others.', ""IF a person's posts convey a high degree of enthusiasm and use a lot of positive language, THEN extraversion is likely High because it reflects an energetic approach towards social connections."", 'IF a person enjoys meeting up with friends and refers to adventures with them, THEN extraversion is likely High because this suggests active social participation and enjoyment of companionship.']","[""Finally! The stars aligned and we were able to go out together! What a wild time we've had"", ""What a wild time we've had, you would think that we were in 2004 living our best life"", ""What a wild time we've had, you would think that we were in 2004""]",High,High,"{'Sociability': 2, 'Positive Emotions': 1}",1,1
10,"having a brill time at the reunion, saw lots of faces i've not seen in a longggggg time. we mustn't leave it so long next time. just waiting for the karaoke to begin so i can impress everyone with a bit of Enrique ! I hope everyone doesn't leave the room when I start singing otherwise i'll never dare pick up a microphone ever again.  Talking about old times at school was a blast....rekindled many good memories.","Happy Birthday to Khaleesy ! Hope you liked the flowers babe, I'll see you when I get home ....expect the princess treatment !!! love you  xxxxx

You always say that my messages on here are too short so i'm making an effort to write you a longgggggggggggggggggg one this time hahaha

happy birthday to you, happy birthday to you, happy birthday Khaleesy, Happy Birthday too youuuuuuuuuuuuuu....uuuuuuuu xxxxx",High,"['IF a person describes a social gathering with friends and expresses excitement about future events, THEN extraversion is likely High because it indicates a preference for social activities and engagement with others.', 'IF a person enjoys meeting up with friends and refers to adventures with them, THEN extraversion is likely High because this suggests active social participation and enjoyment of companionship.', ""IF a person's language is rich with emojis and an outgoing tone, THEN extraversion is likely High because it shows a desire to connect and engage with others positively.""]","[""having a brill time at the reunion, saw lots of faces i've not seen in a longggggg time."", 'just waiting for the karaoke to begin so i can impress everyone with a bit of Enrique !', ""Happy Birthday to Khaleesy ! Hope you liked the flowers babe, I'll see you when I get home ....expect the princess treatment !!! love you  xxxxx""]",High,High,"{'Sociability': 2, 'Warmth': 1}",1,1
