p,post1,post2,true_label,matched_rules,matched_behaviours,pred_zero_shot,pred_rule_based,category_counts,score_rules,score_zero
1,OMG we went to the movie theater and watched a new movie and had fun there was a cute boy a few rolls up from us and we was throwing popcorn at him to get his attention he met us outside after the movies and we talked and exchanged phone numbers and we've been talking ever since me and my friends enjoyed this night,I just want to shout out happy birthday to my amazing husband he always does everything for us and gets up and goes to work and works hard everyday to provide everything that we need I just want to say I'm so grateful for him and everything he has done for me and our children and I will continue to be grateful everyday,High,"['IF a person enjoys nights out with a group and posts about it, THEN extraversion is likely High because participation in social events and sharing experiences indicates an outgoing nature.', 'IF a person expresses happiness while engaging with a group of friends, THEN extraversion is likely High because positive emotional engagement in social interactions is a key characteristic of extraversion.', 'IF a person talks about spending long hours with friends and enjoys it, THEN extraversion is likely High because a preference for lengthy social engagements indicates sociability.']","['we went to the movie theater and watched a new movie and had fun', 'me and my friends enjoyed this night', ""we talked and exchanged phone numbers and we've been talking ever since""]",High,High,"{'Sociability': 2, 'Positive Emotions': 1}",1,1
55,"Highschool reunion! Had such a blast hanging out with these lovely people. Thank you Annie for organising and getting us all back together for such a fun and frivolous evening. Good food, excellent drinks and brilliant company. Would definitely recommend the venue we were hanging out in. And the theme was so much fun! I think we looked amazing in our fancy dress.","Congrats Jamie for surviving another year! It's definitely been a wild one between miving in, new job and adopting our first fur baby. I feel very lucky to be able to celebrate this birthday with you. Here we are enjoying dinner at the Sky Garden, picture taken by our lovely server for the evening. Can't wait to make more memories like this with you.",Moderate,"['IF a person enjoys nights out with a group and posts about it, THEN extraversion is likely High because participation in social events and sharing experiences indicates an outgoing nature.', 'IF a person expresses happiness while engaging with a group of friends, THEN extraversion is likely High because positive emotional engagement in social interactions is a key characteristic of extraversion.', 'IF a person talks about attending multiple social events and describes them as fun, THEN extraversion is likely High because seeking out and enjoying social gatherings demonstrates sociability.', 'IF a person shows an upbeat tone in their post and discusses attending social events with eagerness, THEN extraversion is likely High because positivity in social contexts reflects outgoing traits.', 'IF a person talks about adventures with friends in a light-hearted manner, THEN extraversion is likely High because sharing fun experiences with others reflects sociability.']","['Had such a blast hanging out with these lovely people.', 'Thank you Annie for organising and getting us all back together for such a fun and frivolous evening.', 'Good food, excellent drinks and brilliant company.', 'The theme was so much fun!', 'I feel very lucky to be able to celebrate this birthday with you.']",High,High,"{'Sociability': 3, 'Positive Emotions': 1, 'Uncategorized': 1}",0,0
54,"so after an exciting wait - we finally all met up , Parsons meads Class of 1987. It had been a while and now we all had a few more wrinkles and grey hairs. The room was full of laughter and hugs and kisses as we all remembered the school days. we had a laugh and caught up with all the news about our families and planned the next catch up.
","So my darling hubbie, the big day has come - the big 50. Half a century , wow who would have thought it. We have know each other for 33 years of that time, where has it gone. A few more grey hairs and wrinkles between us but we have 2 lovely kids and a great family. Happy Birthday!",High,"['IF a person expresses happiness while engaging with a group of friends, THEN extraversion is likely High because positive emotional engagement in social interactions is a key characteristic of extraversion.', 'IF a person reflects on their experiences in a calm manner without excessive excitement, THEN extraversion is likely Low because a lack of enthusiasm in social contexts suggests introverted tendencies.']","['The room was full of laughter and hugs and kisses as we all remembered the school days.', 'A few more grey hairs and wrinkles between us but we have 2 lovely kids and a great family.']",High,Moderate,"{'Positive Emotions': 1, 'Warmth': 1}",0,1
40,had fun today! got to see my friends that i've grown up with. im grateful to go through life with them and to see them grow as people. every accomplishment i will be there for becauase i know they will be there for me. i am truly grateful to have such a strong group of people around me and to uplift me.,"happy birthday my love. i am so proud of you. you are my best friend, my ace, my rock. i love you more than every. you keep me on my feet and you never let my crown tip. even trhrough all the trials and tribulations. i am lucky to have someone like you in my corner. you never fail to make me happt",Moderate,[],[],High,Unknown,{},0,0
4,"Wow! It's so great to see everyone after all this time! I am so excited to be here and catch up on all that we missed over time. It's great to see all these familiar faces smiling back at me! I really have missed you and seeing you here and now, I am reminded of some of the best times of my life!","Happy Birthday XXXX! Just wanted you to know I was thinking about you on your special day and wish you many more! I know that you will a wonderful journey ahead of you in days to come and I will be there to cheer you on the whole way. Enjoy your day, take some time to yourself and start back to work tomorrow. L,S",Moderate,"['IF a person enjoys nights out with a group and posts about it, THEN extraversion is likely High because participation in social events and sharing experiences indicates an outgoing nature.', 'IF a person expresses happiness while engaging with a group of friends, THEN extraversion is likely High because positive emotional engagement in social interactions is a key characteristic of extraversion.', 'IF a person expresses little information about being sociable or enjoying social interactions, THEN extraversion is likely Low because a lack of social engagement signals introverted traits.', 'IF a person shows enthusiasm through their tone and punctuation, indicating excitement in their writing, THEN extraversion is likely High because excited language suggests a love for social interaction.']","['I am so excited to be here and catch up on all that we missed over time.', ""It's so great to see everyone after all this time!"", 'Enjoy your day, take some time to yourself and start back to work tomorrow.', ""Wow! It's so great to see everyone after all this time!""]",High,High,"{'Sociability': 1, 'Positive Emotions': 1, 'Warmth': 1, 'Energy/Activity': 1}",0,0
8,"time flies by, I cant believe its been so long since we all met,  had so much fun seeing you all again and catching up. I remember when we used to go out on our bikes for hours now we all have our own house's. its crazy. we should make this an annual thing every year. none of you have changed! ","Happpy Birthdayyyy. I hope your day is filled with all the things you love and your favorite people. This last year has been amazing and i cant wait to celebrate every birthday with you, even when we are old we'll still have each others company. Love you and cant wait to celebrate this day with you.",Moderate,"['IF a person enjoys nights out with a group and posts about it, THEN extraversion is likely High because participation in social events and sharing experiences indicates an outgoing nature.', 'IF a person shows an upbeat tone in their post and discusses attending social events with eagerness, THEN extraversion is likely High because positivity in social contexts reflects outgoing traits.', 'IF a person indicates they enjoy socializing and being out with friends, THEN extraversion is likely High because an inclination towards social interactions is a hallmark of extraversion.']","['I had so much fun seeing you all again and catching up.', 'I hope your day is filled with all the things you love and your favorite people.', ""I cant wait to celebrate every birthday with you, even when we are old we'll still have each others company.""]",High,High,"{'Sociability': 2, 'Uncategorized': 1}",0,0
56,Finally back together again! Been far too long since we've seen each other but the three idiots are together and making mischief again at last. My cheeks and sides are already hurting from laughing too much. Time to set the world to rights and consume exhorbitant amounts of alcohol. Cheers!,"Happy birthday Big Ears! Just kidding, happy birthday to the loveliest man in the whole wide world! Another year older and just getting cuter (and somehow more silly) with age. Hope you have the best day with the best group of misfits and copious amounts of steak, cake an champagne! Lot's of prezzies waiting for you too!",Moderate,"['IF a person enjoys nights out with a group and posts about it, THEN extraversion is likely High because participation in social events and sharing experiences indicates an outgoing nature.', 'IF a person expresses happiness while engaging with a group of friends, THEN extraversion is likely High because positive emotional engagement in social interactions is a key characteristic of extraversion.', 'IF a person indicates they enjoy socializing and being out with friends, THEN extraversion is likely High because an inclination towards social interactions is a hallmark of extraversion.', 'IF a person has an upbeat tone in their post and discusses attending social events with eagerness, THEN extraversion is likely High because positivity in social contexts reflects outgoing traits.', 'IF a person shows enthusiasm through their tone and punctuation, indicating excitement in their writing, THEN extraversion is likely High because excited language suggests a love for social interaction.']","[""Been far too long since we've seen each other but the three idiots are together and making mischief again at last."", 'My cheeks and sides are already hurting from laughing too much.', 'Time to set the world to rights and consume exhorbitant amounts of alcohol.', 'Hope you have the best day with the best group of misfits and copious amounts of steak, cake and champagne!', 'Happy birthday to the loveliest man in the whole wide world! Another year older and just getting cuter (and somehow more silly) with age.']",High,High,"{'Sociability': 2, 'Positive Emotions': 2, 'Energy/Activity': 1}",0,0
50,"What a blast from the past it was last night!   50 years since we all left Morgan and went out into the big wide world.   It was amazing to see some of the old faces, some I barely recognised while with others we went straight back to third year French class!  Awesome to catch up with Brucie, Govie and Tich, but sobering to hear about those who are no longer with us.   Be grateful for every day.","Woo hoo!  Bill is 70!   How did I come to be married to such an old man???   Thank you for putting up with me for all these years and am looking forward to celebrating with you tonight.  Play your cards right - I might just have a wee surprise for you later on!  In the meantime enjoy your cake, it's your favourite!",Low,[],[],High,Unknown,{},0,0
32,"A great thank you to my best childhood friends for organising this heart-warming event.
Emily, Sandra and Beckie - you are the best! 
Lots of stories and pictures were shared and we all thoroughly enjoyed a crazy ride down memory lane. It was great to see you all and see how you all got on in your lives girls!
Can't wait to do this again next year!","A very Happy birthday to my bestie!!! Roy, I want you to know that you are the best thing that ever happened to me. I am so glad we met and I love you unconditionally. I hope you have the best day celebrating your 40th birthday and I'm so here for it. 
You have touched the lives of so many people including mine and we are forever grateful for your optimistic, caring, and kind personality, hope you'll never change!
",Moderate,[],[],High,Unknown,{},0,0
29,"After all this time , the 5 of us still have our meet ups!  We just carry on chatting as though  we met yesterday and it's not just a yearly event. Great friends,  really lucky to be still in touch .
Luckily we're all in Good health... apart from a few old age creaks and cracks.
Already planned next year venue.","Well the next year is upon us! Yep you're having another birthday... watch out for an influx of children later , and be prepared for a lot of noise.
Just because you're a year older,  doesn't mean you can get a quiet life!
Glad you're my husband...
Happy birthday xxxx  and many more  to come xxxx",Moderate,"['IF a person reflects on their experiences in a calm manner without excessive excitement, THEN extraversion is likely Low because a lack of enthusiasm in social contexts suggests introverted tendencies.', 'IF a person expresses little information about being sociable or enjoying social interactions, THEN extraversion is likely Low because a lack of social engagement signals introverted traits.']","[""After all this time, the 5 of us still have our meet ups! We just carry on chatting as though we met yesterday and it's not just a yearly event."", ""Glad you're my husband... Happy birthday xxxx and many more to come xxxx""]",High,Low,{'Warmth': 2},0,0
