p,post1,post2,true_label,matched_rules,matched_behaviours,pred_zero_shot,pred_rule_based,category_counts,score_rules,score_zero
1,OMG we went to the movie theater and watched a new movie and had fun there was a cute boy a few rolls up from us and we was throwing popcorn at him to get his attention he met us outside after the movies and we talked and exchanged phone numbers and we've been talking ever since me and my friends enjoyed this night,I just want to shout out happy birthday to my amazing husband he always does everything for us and gets up and goes to work and works hard everyday to provide everything that we need I just want to say I'm so grateful for him and everything he has done for me and our children and I will continue to be grateful everyday,High,"['IF a person enjoys going out with a group and posts about it THEN extraversion is likely High because they demonstrate social engagement and a penchant for social experiences.', 'IF a person expresses happiness while engaging in extroverted behaviors with friends THEN extraversion is likely High because their enjoyment in social contexts indicates a high level of extraversion.']","['we went to the movie theater and watched a new movie and had fun there', ""we talked and exchanged phone numbers and we've been talking ever since me and my friends enjoyed this night""]",High,High,"{'Sociability': 1, 'Positive Emotions': 1}",1,1
8,"time flies by, I cant believe its been so long since we all met,  had so much fun seeing you all again and catching up. I remember when we used to go out on our bikes for hours now we all have our own house's. its crazy. we should make this an annual thing every year. none of you have changed! ","Happpy Birthdayyyy. I hope your day is filled with all the things you love and your favorite people. This last year has been amazing and i cant wait to celebrate every birthday with you, even when we are old we'll still have each others company. Love you and cant wait to celebrate this day with you.",Moderate,"['IF a person enjoys going out with a group and posts about it THEN extraversion is likely High because they demonstrate social engagement and a penchant for social experiences.', 'IF a person expresses happiness while engaging in extroverted behaviors with friends THEN extraversion is likely High because their enjoyment in social contexts indicates a high level of extraversion.', 'IF a person frequently mentions enjoying social events and their excitement about friendships THEN extraversion is likely High because this reflects a positive attitude towards social interactions.', 'IF a person uses enthusiastic language and expresses excitement about social experiences in their posts THEN extraversion is likely High because this shows a willingness to engage in social activities.']","['had so much fun seeing you all again and catching up.', 'I hope your day is filled with all the things you love and your favorite people.', ""I cant wait to celebrate every birthday with you, even when we are old we'll still have each others company."", 'Happpy Birthdayyyy.']",High,High,"{'Sociability': 1, 'Positive Emotions': 1, 'Warmth': 1, 'Energy/Activity': 1}",0,0
21,"Good times with old friends! Great catch up and a nostalgic trip down memory lane with childhood pals. Food, drinks, music, games and great chat! Venue was great too with great service, would highly recommend. Thanks to all for coming. Should make this a regular thing, so heres to the next one!","A very happy birthday to my incredible wife! you are the most loving, strong and inspirational person that i know, and i am privileged to have you in my life. Congratulations on all that you have achieved and your recent success, long may it continue. thanks for many memories and look forward to creating many more with you.",Low,"['IF a person enjoys going out with a group and posts about it THEN extraversion is likely High because they demonstrate social engagement and a penchant for social experiences.', 'IF a person expresses happiness while engaging in extroverted behaviors with friends THEN extraversion is likely High because their enjoyment in social contexts indicates a high level of extraversion.', 'IF a person frequently mentions enjoying social events and their excitement about friendships THEN extraversion is likely High because this reflects a positive attitude towards social interactions.', 'IF a person shares detailed and interesting conversation topics alongside socializing experiences THEN extraversion is likely High because it reflects enjoyment in engaging with others.']","['Good times with old friends! Great catch up and a nostalgic trip down memory lane with childhood pals.', 'Food, drinks, music, games and great chat!', 'Thanks to all for coming. Should make this a regular thing, so heres to the next one!', 'Great catch up and a nostalgic trip down memory lane with childhood pals.']",High,High,"{'Sociability': 2, 'Positive Emotions': 1, 'Warmth': 1}",0,0
30,"What a weekend we have just had catching up with my childhood friends. The sun made a special appearance for us and it felt like the gods were looking out for us!

We ate, drank, laughed and shopped our hearts out.

Thank you for this special time together and can’t wait to do this again ????????","Happy birthday to you, my wonderful husband. Can’t wait to shower you with your gifts and take you out and celebrate you. We will go to your favourite restaurant ??

Congratulations ?? on this your special birthday ?? ?? let’s have lots of funnnnn!!

Love you very much, see you later my darling xxxxx",Low,"['IF a person enjoys going out with a group and posts about it THEN extraversion is likely High because they demonstrate social engagement and a penchant for social experiences.', 'IF a person expresses happiness while engaging in extroverted behaviors with friends THEN extraversion is likely High because their enjoyment in social contexts indicates a high level of extraversion.', 'IF a person uses enthusiastic language and expresses excitement about social experiences in their posts THEN extraversion is likely High because this shows a willingness to engage in social activities.']","['What a weekend we have just had catching up with my childhood friends.', 'Thank you for this special time together and can’t wait to do this again.', 'let’s have lots of funnnnn!!']",High,High,"{'Sociability': 1, 'Positive Emotions': 1, 'Energy/Activity': 1}",0,0
46,"Such a crazy time with my bro from childhood. We got to this house party which was full of vibes. From the time we got there we knew it was going to be special. The decoration on the house was amazing. Massive shout out to whoever made the ribs, chicken wings and burgers - 10/10. Music was on point, dancing was on point too. We need to do this again.","Just want to send a special happy birthday to my wife - my best friend, my advisor, my partner in crime and in love. Your patience, kind heart, focus, intelligence and your resilience in the face of life's obstacles makes me so lucky to be called your husband. To witness and stand by the woman you've grown into is amazing. I look forward to celebrating many more birthdays with you. Happy birthday my love. ",Moderate,"['IF a person enjoys going out with a group and posts about it THEN extraversion is likely High because they demonstrate social engagement and a penchant for social experiences.', 'IF a person expresses happiness while engaging in extroverted behaviors with friends THEN extraversion is likely High because their enjoyment in social contexts indicates a high level of extraversion.', 'IF a person frequently mentions enjoying social events and their excitement about friendships THEN extraversion is likely High because this reflects a positive attitude towards social interactions.', 'IF a person uses enthusiastic language and expresses excitement about social experiences in their posts THEN extraversion is likely High because this shows a willingness to engage in social activities.']","['Such a crazy time with my bro from childhood. We got to this house party which was full of vibes.', 'From the time we got there we knew it was going to be special.', 'We need to do this again.', 'Massive shout out to whoever made the ribs, chicken wings and burgers - 10/10.']",High,High,"{'Sociability': 1, 'Positive Emotions': 1, 'Warmth': 1, 'Energy/Activity': 1}",0,0
49,"Saw one of my very good friends today! It was quite nostalgic; all those laughter and stories we never get to tell anyone else. He began kidding around and it was like, no time had elapsed and we were back in our childhood or teenage years telling stories of the places we used to hang around. One thing I’ve always grown to appreciate is the ability of friends to know you when you were still young and still support you to date. Thank you to people like this and for creating so many more wonderful memories! Cheers to the uncovered moments.  #Tbt #blessedfriends ","It is another great day for the love of my life, Happy Birthday to you! Today i celebrate you. You always bring so much joy and happiness in to my life, not to mention the patient and constant support. Thanks for every day, all the fun we have, the trips we take, the moments that matters to each of us. Happy anniversary to us yet again, Cheers to many more impressive years together by our side. Happy birthday to you and lots of happiness that you will be showered with today! #BirthdayWishes #BirthdayBoy ",Moderate,"['IF a person describes their close relationships with many people in a positive light THEN extraversion is likely High because it indicates strong social connections and interactions.', 'IF a person expresses happiness while engaging in extroverted behaviors with friends THEN extraversion is likely High because their enjoyment in social contexts indicates a high level of extraversion.']","['One thing I’ve always grown to appreciate is the ability of friends to know you when you were still young and still support you to date.', 'Thanks for every day, all the fun we have, the trips we take, the moments that matter to each of us.']",High,Moderate,"{'Warmth': 1, 'Positive Emotions': 1}",1,0
43,"Good to finally get back together with the crew haha, been a long time coming but definitely worth the wait. All those memories, all the good times and the best part about it, we get to recreate those memories and relive them every time we talk about them. Good to see everytime. Until the next time!","Happy birthday to the most gorgeous girl i've ever laid eyes on in my entire life. I always felt as though i was missing something in life, and now that i've found you i finally feel whole. I hope you have the best day and i hope you get everything you want out of life. Love you. I'll be raising a glass today, To more happiness and more memories!",Low,"['IF a person enjoys going out with a group and posts about it THEN extraversion is likely High because they demonstrate social engagement and a penchant for social experiences.', 'IF a person frequently mentions enjoying social events and their excitement about friendships THEN extraversion is likely High because this reflects a positive attitude towards social interactions.', 'IF a person uses enthusiastic language and expresses excitement about social experiences in their posts THEN extraversion is likely High because this shows a willingness to engage in social activities.', 'IF a person expresses willingness to meet new people and try different activities in their posts THEN extraversion is likely High because this suggests they enjoy socializing.']","['Good to finally get back together with the crew haha, been a long time coming but definitely worth the wait.', 'All those memories, all the good times and the best part about it, we get to recreate those memories and relive them every time we talk about them.', 'I hope you have the best day and i hope you get everything you want out of life.', ""I'll be raising a glass today, To more happiness and more memories!""]",High,High,"{'Sociability': 2, 'Warmth': 1, 'Energy/Activity': 1}",0,0
11,"Hey guys!!!
guess who we have here today???

My childhood friends came over. Oh my God, i have really missed them, i saw them last about 8 years ago but we've always been in communication. I'm so happy to see them and i can't wait to update you guys on the plans we have to catch up. 
Stay tuned!","Happy birthday to the love of my life. I can't imagine what my life could have been without you, you brought colors into my life. On this big day of yours, i wish you heavens choicest blessings and i pray all your hear desires are granted. I love you so much and i hope i make you happy as much as you make me",Low,"['IF a person expresses happiness while engaging in extroverted behaviors with friends THEN extraversion is likely High because their enjoyment in social contexts indicates a high level of extraversion.', 'IF a person describes their close relationships with many people in a positive light THEN extraversion is likely High because it indicates strong social connections and interactions.']","[""I'm so happy to see them and i can't wait to update you guys on the plans we have to catch up."", ""My childhood friends came over. Oh my God, i have really missed them, i saw them last about 8 years ago but we've always been in communication.""]",High,High,"{'Positive Emotions': 1, 'Warmth': 1}",0,0
17,"Finally! The stars aligned and we were able to go out together! What a wild time we've had, you would think that we were in 2004 living our best life at XXX university! The venue was just perfect, and by the look of the videos, despite turning 40 we can still bust a move like when we were 20! ","My darling partner, wishing you the best birthday ever (yet!). Just like fine wine you've aged amazingly well, the salt and pepper look really becomes you! I hope you will enjoy the celebrations we planned for you today, fear not we'll keep it low key and definitely not party like we did for your thirtieth!",High,"['IF a person enjoys going out with a group and posts about it THEN extraversion is likely High because they demonstrate social engagement and a penchant for social experiences.', 'IF a person expresses happiness while engaging in extroverted behaviors with friends THEN extraversion is likely High because their enjoyment in social contexts indicates a high level of extraversion.', 'IF a person frequently mentions enjoying social events and their excitement about friendships THEN extraversion is likely High because this reflects a positive attitude towards social interactions.', 'IF a person uses enthusiastic language and expresses excitement about social experiences in their posts THEN extraversion is likely High because this shows a willingness to engage in social activities.']","['""Finally! The stars aligned and we were able to go out together! What a wild time we\'ve had...""', '""What a wild time we\'ve had... despite turning 40 we can still bust a move like when we were 20!""', '""The stars aligned and we were able to go out together!""', '""What a wild time we\'ve had, you would think that we were in 2004...""']",High,High,"{'Sociability': 1, 'Positive Emotions': 1, 'Warmth': 1, 'Energy/Activity': 1}",1,1
10,"having a brill time at the reunion, saw lots of faces i've not seen in a longggggg time. we mustn't leave it so long next time. just waiting for the karaoke to begin so i can impress everyone with a bit of Enrique ! I hope everyone doesn't leave the room when I start singing otherwise i'll never dare pick up a microphone ever again.  Talking about old times at school was a blast....rekindled many good memories.","Happy Birthday to Khaleesy ! Hope you liked the flowers babe, I'll see you when I get home ....expect the princess treatment !!! love you  xxxxx

You always say that my messages on here are too short so i'm making an effort to write you a longgggggggggggggggggg one this time hahaha

happy birthday to you, happy birthday to you, happy birthday Khaleesy, Happy Birthday too youuuuuuuuuuuuuu....uuuuuuuu xxxxx",High,"['IF a person enjoys going out with a group and posts about it THEN extraversion is likely High because they demonstrate social engagement and a penchant for social experiences.', 'IF a person expresses happiness while engaging in extroverted behaviors with friends THEN extraversion is likely High because their enjoyment in social contexts indicates a high level of extraversion.', 'IF a person frequently mentions enjoying social events and their excitement about friendships THEN extraversion is likely High because this reflects a positive attitude towards social interactions.', 'IF a person uses enthusiastic language and expresses excitement about social experiences in their posts THEN extraversion is likely High because this shows a willingness to engage in social activities.', 'IF a person expresses willingness to meet new people and try different activities in their posts THEN extraversion is likely High because this suggests they enjoy socializing.', 'IF a person describes their close relationships with many people in a positive light THEN extraversion is likely High because it indicates strong social connections and interactions.']","[""having a brill time at the reunion, saw lots of faces i've not seen in a longggggg time."", 'having a brill time at the reunion', 'Talking about old times at school was a blast....rekindled many good memories.', 'just waiting for the karaoke to begin so i can impress everyone with a bit of Enrique !', 'just waiting for the karaoke to begin so i can impress everyone with a bit of Enrique !', ""Happy Birthday to Khaleesy ! Hope you liked the flowers babe, I'll see you when I get home ....expect the princess treatment !!! love you  xxxxx""]",High,High,"{'Sociability': 2, 'Positive Emotions': 1, 'Warmth': 2, 'Energy/Activity': 1}",1,1
